Tên công ty,Ngành nghề,Năm kinh nghiệm,Vị trí làm việc,Số lượng nhân viên,Lương,Mô tả công việc,Yêu cầu công việc,Logo,Link ứng tuyển
CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ - VẬN TẢI QUỐC THỊNH,Chuyên môn Kế toán tổng hợp,3 năm,Hồ Chí Minh,100-499 nhân viên,Thoả thuận,"- Tham mưu cho Kế toán trưởng công tác kế toán, thống kê số liệu, thông tin kinh tế và hạch toán kế toán.
- Kiểm tra các nghiệp vụ kinh tế phát sinh, điều chỉnh và hạch toán theo đúng quy định của Bộ Tài chính.
- Kiểm tra tính hợp lý, hợp lệ thuế GTGT đầu vào, thuế GTGT đầu ra, tình hình sử dụng hoá đơn.
- Kiểm tra tình hình trích và thanh toán lương, BHXH, BHYT, KPCĐ, thuế TNCN và các khoản phải trả khác.
- Hàng tháng tổng hợp và kiểm tra doanh thu bán hàng tại Công ty
- Tính phân bổ phân bổ CCDC và tình hình trích khấu hao TSCĐ và kết chuyển các chi phí hàng tháng.
- Báo cáo công nợ và theo dõi công nợ khách hàng.
- Lập các báo cáo kết quả kinh doanh, báo cáo quản trị theo yêu cầu định kỳ hàng tháng, quý, năm.
- Lập đầy đủ, đúng thời hạn các báo cáo tài chính, báo cáo thuế và báo cáo thống kê theo quy định của Công ty và Bộ Tài chính.
- Thực hiện công việc khác theo yêu cầu của cấp trên.","- Tốt nghiệp: Đại học Kế toán
- Có kinh nghiệm làm kế toán tổng hợp (ít nhất 03 năm), kinh nghiệm quyết toán thuế.
- Ưu tiên ứng viên ở khu vực Quận 2, Quận 9, Quận Thủ Đức, Quận Bình Thạnh
- Am hiểu các quy định của Nhà nước trong lĩnh vực kế toán tài chính doanh nghiệp.
- Trung thực, cẩn trọng, có tinh thần trách nhiệm cao và chịu được áp lực công việc.
- Sử dụng thành thạo Excel, phần mềm kế toán Misa.
- Thời gian thử việc: 2 tháng",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-thuong-mai-dich-vu-van-tai-quoc-thinh-621c7597d9c92.jpg,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-co-xe-dua-ruoc/1728851.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY CỔ PHẦN CHUYỂN ĐỔI SỐ AIONTECH,Chuyên môn Kế toán tổng hợp Kế toán,2 năm,Hà Nội,25-99 nhân viên,12 - 15 triệu,"Thu thập và xử lý dữ liệu: Thu thập, xử lý và lưu trữ dữ liệu từ các chứng từ kế toán phát sinh hàng ngày.
Lập chứng từ kế toán: Lập chứng từ kế toán ngay tại thời điểm phát sinh nghiệp vụ, bao gồm: phiếu thu - chi, phiếu xuất - nhập kho, hóa đơn mua - bán hàng, chứng từ ngân hàng, phiếu tạm ứng lương, v.vv..
Nhập dữ liệu kế toán: Ghi nhận và cập nhật dữ liệu vào sổ sách kế toán như: sổ quỹ, sổ tiền gửi ngân hàng, sổ công nợ, v.vv..
Kiểm tra tính hợp lệ của hóa đơn, chứng từ: Kiểm tra tính hợp lệ của các chứng từ, hóa đơn trước khi nhập vào sổ sách kế toán.
Quản lý công nợ: Theo dõi và quản lý công nợ của bên thứ ba như nhà cung cấp, đại lý, chi nhánh, khách hàng, v.vv..
Kê khai thuế: Lập tờ khai các loại thuế như: thuế giá trị gia tăng, thuế thu nhập doanh nghiệp, thuế thu nhập cá nhân và các loại thuế khác theo yêu cầu của cơ quan thuế.
Kê khai hóa đơn, chứng từ: Thực hiện kê khai, đối chiếu các hóa đơn, chứng từ phát sinh trong tháng (bao gồm của cá nhân và tập thể) và lập báo cáo về tình hình sử dụng hóa đơn.
Tính giá trị hàng hóa/sản phẩm/dịch vụ của công ty: Tính giá trị hàng hóa tồn kho, giá vốn hàng bán ra, giá trị của các sản phẩm/dịch vụ của công ty và khấu hao tài sản cố định, v.vv..
Lập báo cáo: Lập báo cáo tháng theo yêu cầu của cấp trên như báo cáo hoạt động kinh doanh, bảng cân đối kế toán, báo cáo lưu chuyển tiền tệ, v.vv..","Tốt nghiệp Đại học chuyên ngành liên quan như: Kế toán, Kiểm toán, Tài chính - Ngân hàng, Quản trị kinh doanh, v.vv
Có ít nhất 2 - 3 năm kinh nghiệm trong lĩnh vực kế toán
Kế toán tổng hợp cần nắm chắc kiến thức về nguyên lý kế toán, chuẩn mực kế toán, kế toán thanh toán, kế toán bán hàng, kế toán công nợ, kế toán thuế, v.vv.
Kế toán tổng hợp cần sử dụng thành thạo các phần mềm kế toán phổ biến để nâng cao hiệu suất công việc.
Kế toán tổng hợp cần có kiến thức về các quy định pháp luật liên quan đến liên quan đến thuế, tài chính, đồng thời liên tục cập nhật các thông tư, nghị định mới ban hành.
Nhạy bén, thật thà, có kỹ năng phân tích số liệu
Tỉ mỉ, cẩn thận, có khả năng tổ chức, sắp xếp công việc, khả năng chịu áp lực",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-chuyen-doi-so-adt-61416b8dc8d3d.jpg,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-luong-tu-12-15-trieu-di-lam-ngay/1728772.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY TNHH HƯƠNG VIỆT 1936,Chuyên môn Kế toán tổng hợp,2 năm,Hồ Chí Minh,1-9 nhân viên,12 - 15 triệu,"Thực hiện các nghiệp vụ kế toán tổng hợp trong nhà hàng
Lập và kiểm tra các báo cáo lời lỗ nội bộ
Theo dõi, quản lý doanh thu, chi phí của nhà hàng
Kiểm soát các khoản thu chi, đối chiếu công nợ với khách hàng và nhà cung cấp
Quản lý sổ sách kế toán, chứng từ theo quy định
Tập hợp, kiểm tra tính hợp lý, hợp lệ hóa đơn đầu vào của các nhà cung cấp, đầu ra và ghi sổ kế toán.
Kiểm tra sổ thu chi, Kiểm kê quỹ doanh thu các chi nhánh.
Soát xét bảng chấm công, bảng lương.
Nhận các chứng từ thu, chi, mua hàng ...và ghi sổ kế toán, lập báo cáo nội bộ: doanh thu, chi phí định kỳ hằng tháng.
Và thực hiện các yêu cầu khác theo yêu cầu của cấp trên.","Tốt nghiệp ngành Kế toán, Kiểm toán, Tài chính
Thành thạo Microsoft Excel và biết sử dụng 1 số phần mềm kế toán
Có kiến thức về chuẩn mực kế toán Việt Nam và các quy định về thuế
Cẩn thận, tỉ mỉ và có tinh thần trách nhiệm cao
Khả năng làm việc độc lập",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/G2T8YQRiIaRE9y6O8tiWZgZghdZl7Ojz_1650352313____ec64c8dca8e1e67f6d4f9cbaa799f333.jpg,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-noi-bo/1727383.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
TRƯỜNG TRUNG CẤP NGHỀ KỸ THUẬT VÀ NGHIỆP VỤ DU LỊCH QUANG MINH,Chuyên môn Kế toán tổng hợp,3 năm,Hà Nội,100-499 nhân viên,13 - 15 triệu,"1. Tổ chức và quản lý hệ thống kế toán:
o Thiết lập và quản lý hệ thống tài khoản kế toán, chứng từ kế toán và quy trình luân chuyển chứng từ.
o Đảm bảo việc lưu trữ hồ sơ, chứng từ kế toán một cách khoa học và an toàn.
2. Thực hiện nghiệp vụ kế toán tổng hợp:
o Tiếp nhận, kiểm tra tính hợp lệ của chứng từ kế toán.
o Hạch toán các nghiệp vụ kinh tế phát sinh vào phần mềm kế toán (ví dụ: mua bán hàng hóa, nguyên vật liệu, tài sản cố định, chi phí sản xuất, doanh thu, chi phí hoạt động, các khoản công nợ,...).
o Theo dõi và quản lý các khoản công nợ phải thu, phải trả.
o Tính toán giá thành sản phẩm, phân tích các yếu tố ảnh hưởng đến giá thành.
o Thực hiện các bút toán điều chỉnh, kết chuyển cuối kỳ.
o Quản lý tài sản cố định, công cụ dụng cụ (theo dõi tăng giảm, khấu hao, thanh lý,...).
o Theo dõi và hạch toán các nghiệp vụ liên quan đến ngân hàng, tiền mặt.
o Lập các báo cáo kế toán định kỳ (tháng, quý, năm) theo quy định và yêu cầu của công ty.
3. Lập và phân tích báo cáo tài chính:
o Lập các báo cáo tài chính (Bảng cân đối kế toán, Báo cáo kết quả hoạt động kinh doanh, Báo cáo lưu chuyển tiền tệ, Thuyết minh báo cáo tài chính) một cách chính xác và kịp thời.
o Phân tích các chỉ số tài chính cơ bản, đánh giá tình hình tài chính và hiệu quả hoạt động sản xuất kinh doanh của công ty.
4. Công tác thuế:
o Theo dõi và cập nhật các quy định mới nhất về thuế.
o Lập các tờ khai thuế (GTGT, TNDN, TNCN,...) và nộp đúng thời hạn.
o Giải quyết các vấn đề liên quan đến thuế với cơ quan nhà nước.
o Tham gia công tác quyết toán thuế..
5. Các công việc khác:
o Thực hiện các công việc khác theo sự phân công của Kế toán trưởng/Giám đốc Tài chính.","• Tốt nghiệp Đại học trở lên chuyên ngành Kế toán.
• Có ít nhất 03 năm kinh nghiệm làm kế toán tổng hợp trong các công ty sản xuất.
• Nắm vững các nguyên tắc kế toán, chuẩn mực kế toán Việt Nam và các quy định pháp luật liên quan.
• Có kiến thức về kế toán giá thành trong môi trường sản xuất.
• Sử dụng thành thạo các phần mềm kế toán, tin học văn phòng (Word, Excel,...).
• Có khả năng phân tích, tổng hợp và báo cáo số liệu.
• Cẩn thận, tỉ mỉ, trung thực và có trách nhiệm cao trong công việc.
• Có khả năng làm việc độc lập và làm việc nhóm tốt.
• Có khả năng chịu được áp lực công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/681c617815d731746690424.png,https://www.topcv.vn/viec-lam/ke-toan-tong-hop/1723029.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY CỔ PHẦN HOBI VIỆT NAM,Chuyên môn Kế toán thuế Kế toán,2 năm,Hà Nội,100-499 nhân viên,13 - 15 triệu,"Các công việc chuyên môn
- Tập hợp hóa đơn,kiểm tra tính hợp lý hợp lệ của hóa đơn chứng từ phát sinh của công ty để hạch toán và theo dõi như:
- Lập hóa đơn bán hàng, cân đối hóa đơn phát sinh theo ngày, theo tháng. Theo dõi doanh thu và các khoản phải thu, đôn đốc,kết hợp, nhắc nhở nhân viên KD, đại lý về các khoản phải thu.
- Lập phiếu thu, chi và báo nợ, báo có ghi nhận theo sổ phụ của các ngân hàng. Chốt báo cáo tháng sổ ngân hàng.
- Cập nhật, lập phiếu mua hàng trong nước và nhập khẩu
- Cập nhật khai báo tăng, giảm CCDC, TSCĐ, lập bảng phân bổ tháng.
- Tính lương, ghi nhận các khoản trích theo lương cuối tháng.
- Ghi nhận các khoản vay ngân hàng, cân đối dòng tiền ghi nhận khoản vay cá nhân khi phát sinh.
- Cân đối doanh thu, cân đối giá bán trình kế toán trưởng duyệt.
- Cân đối chi phí phat sinh hàng tháng, đề xuất phương án xử lý.
- Kiểm tra, đối chiếu hóa đơn GTGT đầu ra, đầu vào, bù trừ số thuế được khấu trừ.
- Tập hợp chứng từ phục vụ hồ sơ hoàn thuế: hợp đồng xuất khẩu, hóa đơn, tờ khai hải quan, vận đơn, chứng từ thanh toán qua ngân hàng, định mức sản xuất,...
- Phối hợp với các phòng ban (xuất nhập khẩu, sản xuất, kỹ thuật) để chuẩn bị hồ sơ hoàn thuế đầy đủ theo yêu cầu của cơ quan thuế.
- Trực tiếp lập hồ sơ hoàn thuế, nộp và theo dõi tiến trình hoàn thuế, xử lý các yêu cầu bổ sung, giải trình với cơ quan thuế
- Phối hợp xây dựng định mức cho từng sản phẩm và tính giá thành cho từng sản phẩm, từng khâu, từng công đoạn trong sản xuất.
Lập báo cáo thuế theo tháng, quý:
- Thuế GTGT.
- Thuế TNCN,
- Thuế TNDN
- Lập báo cáo tình hình sử dụng hóa đơn.
- Nộp thuế GTGT, TNCN, TNDN khi có phát sinh, đề xuất chi phí thuế phải nộp sao cho hợp lý.
Báo cáo tài chính:
- Lập báo cáo kết quả kinh doanh, cân đối kế toán, cân đối tài khoản, dòng tiền... tháng, năm.
- Lập báo cáo quyết toán thuế TNDN, Thuế TNCN năm.
Hoạt động khác:
- Trực tiếp làm việc với cơ quan thuế khi có phát sinh.
- Tham gia giải trình khi quyết toán thuế, hoặc các cơ quan ban ngành yêu cầu.
- Lập các báo cáo đặc thù, đột xuất theo yêu cầu của kế toán trưởng hoặc BLĐ yêu cầu.
- Kịp thời cập nhật các thông tin về chính sách thuế và các văn bản liên quan đến hoạt động của doanh nghiệp
- Sắp xếp lưu trữ toàn bộ báo cáo của kế toán viên (thời gian lưu trữ 12 tháng)","- Trình độ học vấn: Tốt nghiệp đại học chuyên ngành kế toán
- Tối thiểu 2 năm kinh nghiệm ở vị trí kế toán sản xuất & đã từng tham gia quyết toán thuế ở các DN sản xuất.
- Thành thạo tin học văn phòng
- Thành thạo các phần mềm liên quan đến chuyên môn.
- Có kinh nghiệm hoàn thuế VAT, quyết toán thuế TNDN",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/AGX3rzBsFjKlxmuMaLn7893IbDvslPTZ_1712828769____5179247f8ac64a08e8922029f7fa0f9d.jpg,https://www.topcv.vn/viec-lam/ke-toan-thue-luong-13-15-trieu-tai-ha-noi/1702884.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY TNHH HD PRO VIETNAM,Chuyên môn Kế toán nội bộ Nghỉ thứ 7,1 năm,Hồ Chí Minh,25-99 nhân viên,12 - 15 triệu,"Theo dõi các khoản thuế, chi phí lô hàng nhập khẩu phù hợp vs điều kiện mua hàng, công nợ nước ngoài phải trả, các khoản ngân sách của nhà nước còn thiếu, theo dõi báo cáo Ngân hàng nhà nước khoản vay NN hàng tháng (nếu có) ..
Soạn thảo các văn bản thủ tục hành chính cơ bản, biết kiến thức về kế toán thuế, BHXH;
Theo dõi công nợ, thu chi; Tập hợp chứng từ phát sinh, theo dõi công việc với cty KT dịch vụ, kiểm tra tờ khai thuế GTGT, TNCN, kiểm tra hạch toán kế toán, ...
Giao dịch với ngân hàng: rút tiền,nộp tiền, lấy sổ phụ, cung cấp chứng từ cần thiết khi có phát sinh, ...
Kiểm tra lưu trữ đầy đủ hoá đơn, chứng từ vào cuối tháng.
Thực hiện các nghiệp vụ kế toán tổng hợp theo yêu cầu công ty.
Theo dõi lô hàng nhập khẩu, làm việc vs Cty dịch vụ thủ tục hải quan để thông quan và nhận hàng.
Các CV hành chính khác: Đăng tin tuyển dụng, mua sắm văn phòng phẩm, đặt xe/ cơm trưa, in ấn,hỗ trợ khi công ty có hội chợ triễn lãm,...
Các công việc phát sinh khác theo phân công của quản lý.","Có kiến thức về kế toán thuế, lương, BHXH;
Giao tiếp tiếng Anh làm việc vs giám đốc người Hàn.
Có tinh thần trách nhiệm cao, thái độ tác phong nhanh nhẹn, năng động.
Khả năng làm việc độc lập.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/68219928705141747032360.jpg,https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-kiem-admin-xuat-nhap-khau-tieng-anh-quan-4/1725523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
Công ty TNHH Xe nâng Bình Minh,Chuyên môn Kế toán thuế Kế toán Xuất nhập khẩu / Hải quan,3 năm,Hà Nội,100-499 nhân viên,18 - 20 triệu,"- Kiểm tra các định khoản nghiệp vụ phát sinh. Kiểm tra sự cân đối giữa số liệu kế toán chi tiết và tổng hợp
- Lập báo cáo thuế GTGT, TNCN, TNDN, BCTC
- Cung cấp số liệu cho ban giám đốc
- Giải trình số liệu và cung cấp hồ sơ, số liệu cho cơ quan thuế, kiểm toán, thanh tra kiểm tra
- Phân tích số liệu và đưa ra những ý kiến đề xuất, đóng góp, tư vấn cho TPKT, BLĐ công ty.
- Tư vấn về quy trình hoạt động,tối ưu chi phí thuế cho doanh nghiệp
- Thực hiện các công việc khác theo phân công của TPKT","- Tốt nghiệp đại học chính quy chuyên ngành kế tóan
- Am hiểu về quy định Thuế, hệ thống kế toán
- Sử dụng thành thạo tin học văn phòng
- Độ tuổi từ 28 đến 35 tuổi
- Nhanh nhẹn, trung thực, có tinh thần học hỏi và muốn gắn bó lâu dài",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/qIMKX9MRaeEZbkVWernbBhyROWBNTCOg_1676516029____24bb1a4e45c82e080a07047c195bc865.jpg,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thue-thu-nhap-hap-dan-lam-viec-tai-ha-noi/1665773.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
Công ty TNHH XNK Seivina,Chuyên môn Kế toán thuế,1 năm,Bình Dương,10-24 nhân viên,12 - 15 triệu,"Làm hồ sơ hoàn thuế
Nhận hóa đơn đầu vào, theo dõi đối chiếu công nợ với nhà cung cấp hàng tháng, quý, năm
Xuất hóa đơn đầu ra, theo dõi đối chiếu công nợ với khách hàng hàng tháng, quý, năm
Báo cáo thuế tháng, quý, năm
Làm hợp đồng và các giấy tờ liên quan đến việc mua bán hàng hóa
Thực hiện các công việc khác theo yêu cầu của Trưởng bộ phận","Giới tính: Nam/Nữ, từ 24 – 35 tuổi.
Tốt nghiệp Cao đẳng/Đại học chuyên ngành Kế toán, Tài chính hoặc các ngành liên quan.
Có ít nhất 2 năm kinh nghiệm ở vị trí kế toán thuế, ưu tiên ứng viên có kinh nghiệm trong lĩnh vực xuất nhập khẩu.
Nắm vững các quy định pháp luật về thuế và kế toán.
Sử dụng thành thạo Excel và phần mềm kế toán MISA.
Cẩn thận, trung thực, có tinh thần trách nhiệm cao.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/0aaWpx64zgjV1vDCw0KyhQSTC5FTUAdf_1636346779____6b6c1fd40f7b1f52d3fa3d4802689bf9.png,https://www.topcv.vn/viec-lam/ke-toan-thue-luong-12-15-trieu-binh-duong/1719257.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY TNHH KIỂM TOÁN CPA VIETNAM,Chuyên môn Kiểm toán khác Kiểm toán,Không yêu cầu,Hà Nội,100-499 nhân viên,Thoả thuận,"- Soát xét, kiểm tra tính pháp lý của hồ sơ đấu giá;
- Lập phương án và chịu trách nhiệm thực hiện các hồ sơ, dự án bán đấu giá của công ty;
- Tư vấn, trực tiếp nhận hồ sơ đấu giá tài sản;
- Thực hiện và đi thực tế khảo sát tài sản liên quan đến hồ sơ Thẩm định/Đấu giá tài sản
- Làm việc với các đối tác liên quan đến nghiệp vụ đấu giá.
- Điều hành phiên đấu giá;
- Thực hiện các công việc khác theo yêu cầu của Ban Giám đốc;","- Có chứng chỉ hành nghề đấu giá (yêu cầu bắt buộc).
- Ưu tiên ứng viên có kinh nghiệm làm việc ở các công ty đấu giá tại Việt Nam
- Nhanh nhẹn, cẩn thận, tỉ mỉ, chịu khó trong công việc.
- Có sức khỏe tốt chịu được áp lực công việc và đặc biệt có khả năng đi công tác xa
- Nhiệt tình với công việc và có nguyện vọng làm việc lâu dài tại công ty
- Thành thạo Kỹ năng soạn thảo văn bản và kỹ năng tin học văn phòng.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-kiem-toan-cpa-vietnam-613b3d6e1303b.jpg,https://www.topcv.vn/viec-lam/dau-gia-vien/1725472.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY TNHH KUM KANG LABELS VINA,Chuyên môn Kế toán tổng hợp,3 năm,Bình Dương,25-99 nhân viên,Thoả thuận,"Chịu trách nhiệm lập kế hoạch, tổ chức và điều hành toàn bộ các hoạt động của phòng kế toán bao gồm kiểm soát và báo cáo, lập ngân sách và dự báo, thanh toán và đầu tư.
Đảm bảo tuân thủ Chuẩn mực Kế toán Việt Nam và các quy trình của công ty cũng như tính chính xác của tất cả thông tin và dữ liệu.
Việc lập báo giá cho khách hàng là một nhiệm vụ quan trọng trong công việc hằng ngày.
Thực hiện công tác tính lương cho nhân viên.
Thực hiện các báo cáo hàng tháng, định kỳ liên quan, kê khai thuế và giải quyết các vấn đề về thuế như VAT, FCT, PIT, CIT, v.v. theo yêu cầu.
Lập báo cáo tài chính hàng tháng, hàng quý và hàng năm bao gồm báo cáo kết quả hoạt động kinh doanh, bảng cân đối kế toán, báo cáo lưu chuyển tiền tệ và phân tích chi phí.
Chịu trách nhiệm quản lý dòng tiền, thực hiện tính lương và thanh toán cho nhà cung cấp, nhân viên và các cơ quan chức năng Việt Nam.
Xử lý tất cả các vấn đề liên quan đến thuế, phối hợp với các phòng ban nội bộ và các bên liên quan bên ngoài như ngân hàng, kiểm toán, cơ quan thuế và các tổ chức chính phủ liên quan đến tài chính và kế toán.
Thiết lập, giám sát và cùng đội ngũ triển khai hệ thống MISA, đảm bảo hệ thống vận hành trơn tru.
Đào tạo, hướng dẫn và phát triển đội ngũ kế toán địa phương.
Thực hiện các nhiệm vụ đặc biệt khác theo sự phân công của Tổng Giám đốc.","Ít nhất 3 năm kinh nghiệm làm việc tại các công ty sản xuất có vốn đầu tư nước ngoài.
Kiến thức vững vàng về phân tích tài chính, nguyên tắc kế toán, hệ thống kế toán, quy trình và thủ tục sản xuất.
Ưu tiên ứng viên có kinh nghiệm trong các chức năng kiểm soát như: công nợ phải trả (A/P), công nợ phải thu (A/R), hóa đơn, quản lý tồn kho, cũng như quản lý tài chính bao gồm bảo hiểm, phân tích doanh số và định giá.
Cập nhật kiến thức về Chuẩn mực Kế toán Việt Nam và các luật, quy định liên quan đến công việc kế toán và các vấn đề về thuế tại Việt Nam.
Phải có kinh nghiệm triển khai và sử dụng hệ thống kế toán MISA.
Thành thạo kỹ năng máy tính (MS Office, Internet, phần mềm kế toán).
Thông thạo tiếng Anh trong giao tiếp, đọc và viết.
Kỹ năng lãnh đạo, phân tích và tổ chức tốt, tác phong chuyên nghiệp, chính trực, có kỹ năng giao tiếp và làm việc nhóm hiệu quả.
Lưu ý: Chỉ nhận CV viết bằng tiếng Anh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-kum-kang-labels-vina-41c28aebbad3f30d1c0d596bab28f839-673413b841b4d.jpg,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-ke-toan-truong/1711495.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY CỔ PHẦN GIAO NHẬN NHANH LIÊN PHƯƠNG,Chuyên môn Kế toán thuế Kế toán Thuế Logistic / Vận tải,3 năm,Hà Nội,500-1000 nhân viên,13 - 15 triệu,"Xuất hóa đơn, thu thập hóa đơn, chứng từ đầu ra và đầu vào
Kiểm tra công nợ thuế với khách hàng
Kiểm tra tính chính xác, hợp lệ của các chứng từ kế toán liên quan đến thuế.
Hạch toán các nghiệp vụ kế toán thuế, đảm bảo tính chính xác và kịp thời.
Nộp báo cáo thuế định kỳ (thuế GTGT, thuế TNDN, thuế TNCN,...) và các báo cáo khác theo yêu cầu của cơ quan thuế.
Theo dõi và quản lý các khoản thuế phải nộp, đảm bảo không phát sinh nợ thuế.
Phân tích và giải trình các vấn đề liên quan đến thuế.
Cập nhật và nắm bắt các chính sách, quy định mới về thuế.
Hỗ trợ giải đáp các thắc mắc liên quan đến thuế cho các bộ phận khác trong công ty.
Làm việc với cơ quan thuế để giải quyết các vấn đề phát sinh.","Nữ, từ 26 đến 35 tuổi, tốt nghiệp đại học chuyên ngành liên quan của các trường Kinh tế, Ngoại thương, Tài chính,...
Có từ 03 năm kinh nghiệm ở các vị trí tương đương.
Nắm vững các quy định của pháp luật về thuế hiện hành.
Thành thạo các phần mềm kế toán (ví dụ: Misa, Fast Accounting,...) và phần mềm văn phòng (Word, Excel, Powerpoint).
Có kỹ năng phân tích số liệu, tổng hợp thông tin và lập báo cáo.
Có khả năng làm việc độc lập và làm việc nhóm.
Cẩn thận, tỉ mỉ, chính xác trong công việc.
Có tinh thần trách nhiệm cao và khả năng chịu áp lực tốt.
Kỹ năng giao tiếp tốt, khả năng làm việc hiệu quả dưới áp lực cao.
Ưu tiên ứng viên có chứng chỉ kế toán hoặc các chứng chỉ chuyên môn liên quan.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/E9wuyUJbQvptL14L4HUzVlFFME2RmSHT_1718091533____31d79be47c5aee830c5aaa22a505ccfa.png,https://www.topcv.vn/viec-lam/ke-toan-thue-lpe-luong-13-16-trieu-tai-ha-noi/1665838.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG CẦN HƯƠNG,Chuyên môn Kế toán tổng hợp Kế toán Tài chính Thuế,2 năm,Hồ Chí Minh,25-99 nhân viên,12 - 14 triệu,"• Cập nhật, kiểm tra ghi chép số liệu, hạch toán các nghiệp vụ vào phần mềm kế toán.
• Hạch toán các nghiệp vụ kế toán tổng hợp phát sinh
• Kê khai và quyết toán thuế GTGT, TNDN, TNCN
• Theo dõi và tổng hợp sổ sách kế toán, lập báo cáo tài chính theo quý, năm.
• Làm việc với cơ quan thuế, ngân hàng, bảo hiểm khi có phát sinh.
• Thực hiện các công việc khác theo yêu cầu của KTT, Giám đốc","• Tốt nghiệp Đại học (Cao đẳng) hệ chính quy, chuyên ngành Kế toán, tài chính.
• Có ít nhất 1-2 năm kinh nghiệm ở vị trí kế toán tổng hợp, thuế.
• Biết sử dụng phần mềm kế toán (ưu tiên FAST).
• Kỹ năng tin học văn phòng cơ bản tốt (Word, Excel).
• Trung thực, thật thà, chịu khó và sẵn sàng học hỏi
• Giao tiếp tốt, có trách nhiệm, chủ động trong công việc",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-thuong-mai-dich-vu-xay-dung-can-huong-633a8a58eac5c.jpg,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-luong-12-14-trieu-di-lam-ngay/1726060.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466232
